INDICATOR,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_VALUE_WINS
ST_EEV_ACCSEEA,MH,2010,0,0
ST_EEV_ACCSEEA,MH,2011,0,0
ST_EEV_ACCSEEA,MH,2012,0,0
ST_EEV_ACCSEEA,MH,2013,0,0
ST_EEV_ACCSEEA,MH,2014,0,0
ST_EEV_ACCSEEA,MH,2015,0,0
ST_EEV_ACCSEEA,MH,2016,0,0
ST_EEV_ACCSEEA,MH,2017,0,0
ST_EEV_ACCSEEA,MH,2018,0,0
ST_EEV_ACCSEEA,MH,2019,0,0
ST_EEV_ACCSEEA,MH,2020,0,0
ST_EEV_ACCSEEA,MH,2021,0,0
SL_EMP_EARN,VU,2010,256.11,256.11
SL_TLF_UEM,PG,2010,2.77,2.77
SL_TLF_UEM,PG,2022,3.29,3.29
SL_TLF_UEM,PF,2002,39.13,39.13
SL_TLF_UEM,PF,2007,38.5,38.5
SL_TLF_NEET,KI,2015,46.89,46.89
SL_TLF_NEET,KI,2019,52.01,52.01
SL_TLF_NEET,KI,2020,53.67,53.67
EG_ACS_ELEC,MH,2016,93.1,93.1
EG_ACS_ELEC,MH,2017,94.3,94.3
EG_ACS_ELEC,MH,2018,95.9,95.9
EG_ACS_ELEC,MH,2019,97.5,97.5
EG_ACS_ELEC,MH,2020,99.2,99.2
SL_TLF_NEET,KI,2019,43.5,43.5
SI_POV_NAHC,VU,2019,2.6,2.6
SL_TLF_UEM,WS,2013,1.4,1.4
SL_TLF_UEM,TV,2015,16,16
SPC_16_6_1,TV,2007,101.5,101.5
SPC_16_6_1,TV,2008,110.1,110.1
SPC_16_6_1,TV,2009,102.6,102.6
SL_TLF_UEM,KI,2019,0,0
SI_POV_NAHC,MH,2019,38.1,38.1
SI_POV_NAHC,SB,2012,13.7,13.7
SL_EMP_EARN,CK,2019,14.24,14.24
SL_TLF_UEM,MH,2019,3.7,3.7
SI_POV_NAHC,KI,2019,32.5,32.5
SL_TLF_UEM,KI,2019,6,6
SL_TLF_NEET,SB,2012,27.3,27.3
SI_POV_NAHC,MH,2019,2.1,2.1
SI_POV_NAHC,MH,2019,4.7,4.7
SL_TLF_UEM,NC,2017,9.2,9.2
SL_TLF_UEM,VU,2019,1.4,1.4
SI_POV_DAY1,WS,2008,1,1
SI_POV_DAY1,WS,2013,3,3
SI_POV_DAY1,WS,2018,3.21,3.21
SL_TLF_UEM,WS,2012,14.65,14.65
SL_TLF_UEM,WS,2017,5.57,5.57
SL_TLF_UEM,WS,2018,0.5,0.5
SI_POV_DAY1,PG,2009,35,35
ST_EEV_ACCSEEA,FM,2009,0,0
ST_EEV_ACCSEEA,FM,2010,0,0
ST_EEV_ACCSEEA,FM,2011,0,0
ST_EEV_ACCSEEA,FM,2012,0,0
ST_EEV_ACCSEEA,FM,2013,0,0
ST_EEV_ACCSEEA,FM,2014,0,0
ST_EEV_ACCSEEA,FM,2015,0,0
ST_EEV_ACCSEEA,FM,2016,0,0
ST_EEV_ACCSEEA,FM,2017,0,0
ST_EEV_ACCSEEA,FM,2018,0,0
ST_EEV_ACCSEEA,FM,2019,0,0
GR_G14_GDP,WS,2010,24.52,24.52
GR_G14_GDP,WS,2011,28.67,28.67
GR_G14_GDP,WS,2012,30.16,30.16
GR_G14_GDP,WS,2013,31.74,31.74
GR_G14_GDP,WS,2014,35.99,35.99
GR_G14_GDP,WS,2015,32.05,32.05
GR_G14_GDP,WS,2016,32.6,32.6
GR_G14_GDP,WS,2017,34.03,34.03
GR_G14_GDP,WS,2018,35.99,35.99
GR_G14_GDP,WS,2019,37.7,37.7
GR_G14_GDP,WS,2020,43.28,43.28
GR_G14_GDP,WS,2021,43.16,43.16
SI_POV_DAY1,WS,2008,1,1
SI_POV_DAY1,WS,2013,1,1
SI_POV_DAY1,WS,2018,9.26,9.26
SL_TLF_UEM,WS,2001,3,3
SL_TLF_UEM,WS,2011,2.79,2.79
SL_TLF_UEM,WS,2012,7.05,7.05
SL_TLF_UEM,WS,2014,7.05,7.05
SL_TLF_UEM,WS,2017,10.11,10.11
SL_TLF_UEM,WS,2022,4.64,4.64
SL_TLF_UEM,FJ,2005,4,4
SL_TLF_UEM,FJ,2011,4.6,4.6
SL_TLF_UEM,FJ,2014,6.35,6.35
SL_TLF_UEM,FJ,2016,4.47,4.47
SL_TLF_UEM,KI,2015,9.34,9.34
SL_TLF_UEM,KI,2019,8.56,8.56
SL_TLF_UEM,KI,2020,10.97,10.97
SL_TLF_NEET,FJ,2005,20.55,20.55
SL_TLF_NEET,FJ,2011,18.4,18.4
SL_TLF_NEET,FJ,2014,19.09,19.09
SL_TLF_NEET,FJ,2016,20.09,20.09
SL_TLF_UEM,CK,2011,6.54,6.54
SL_TLF_UEM,CK,2016,0.71,0.71
SL_TLF_UEM,CK,2019,0.77,0.77
SL_TLF_UEM,PW,2000,10.63,10.63
SL_TLF_UEM,PW,2013,5.4,5.4
SL_TLF_UEM,PW,2020,3.54,3.54
SL_TLF_NEET,NR,2013,22.05,22.05
SL_TLF_NEET,NR,2021,33.37,33.37
SPC_17_3_1,NC,2000,-40.62609,-5.1
SPC_17_3_1,NC,2001,103.04121,103.04121
SPC_17_3_1,NC,2002,59.05552,59.05552
SPC_17_3_1,NC,2003,116.04814,116.04814
SPC_17_3_1,NC,2004,27.48019,27.48019
SPC_17_3_1,NC,2005,-6.73874,-5.1
SPC_17_3_1,NC,2006,749.08795,348.74922
